Contributor Name,Contributions,Total PRs Created,Total PRs Merged,Total Issues Created,Total Issues Closed,Total PR Comments,Total Issues Comments,Total Commits,Contribution Type,Contribution Rate,Issue Handling Efficiency,PR Comments to Created Ratio,Issue Comments to Created Ratio,Total Activity Score,PRs Impact Score,PRs Merged to Created Ratio,Issues Closed to Created Ratio,High Contributor,High PRs Created,Total Activity per Repository,Average Comments per PR,Contribution Impact Score,Collaboration Score,PR_Acceptance
mkonda,60,0,11,0,13,3,0,0.0,2,60.0,13.0,3.0,0.0,87,44,11.0,13.0,1,0,1.4262295081967213,3.0,0.19672131147540983,0.04918032786885246,0
iamjoeker,20,0,6,5,13,15,1,6.0,0,20.0,2.1666666666666665,15.0,0.16666666666666666,60,96,6.0,2.1666666666666665,0,0,2.857142857142857,15.0,0.4523809523809524,0.7619047619047619,0
